campaign_id,platform,influencer_category,campaign_type,start_date,end_date,campaign_duration_days,estimated_reach,engagements,clicks,conversions,product_sales,engagement_rate,ctr,conversion_rate,action_yield,revenue_per_conversion,campaign_efficiency,interaction_score,action_score,IGS,archetype
CAMP159770,TikTok,Food,Brand Awareness,2185-08-24 00:00:00,2185-09-12 00:00:00,19,889965,29172,10862,210,1461,0.0327788171444944,0.0122049743529239,0.0193334560854354,0.0071986836692719,6.957142857142857,0.0016416375924895,-0.1756572677848982,-0.2300131181775146,-0.0543558503926164,Spike Artist
CAMP121362,TikTok,Food,Seasonal Sale,2080-06-27 00:00:00,2080-07-05 00:00:00,8,978277,4124,22349,495,4206,0.0042155749342977,0.0228452677513628,0.0221486419974048,0.1200290979631425,8.496969696969696,0.0042993957744074,-0.192002687137771,0.7694644135862246,0.9614671007239955,Behavior-Positive
CAMP227324,YouTube,Food,Giveaway,2370-08-09 00:00:00,2370-08-22 00:00:00,13,294022,54131,2416,210,4690,0.1841052710341403,0.0082170721918767,0.0869205298013245,0.003879477563688,22.33333333333333,0.0159511873261184,-0.0890601535705176,0.6925275816439692,0.7815877352144869,Full-Funnel Creator
CAMP240509,Instagram,Tech,Seasonal Sale,2406-09-14 00:00:00,2406-10-10 00:00:00,26,471471,32451,7696,234,1453,0.0688292599120624,0.0163233793807042,0.0304054054054054,0.0072108717759082,6.2094017094017095,0.003081843846175,-0.15502727065235,0.1273097495285643,0.2823370201809144,Spike Artist
CAMP244297,TikTok,Fitness,Seasonal Sale,2417-01-27 00:00:00,2417-02-19 00:00:00,23,393587,85453,13248,454,577,0.2171133701062281,0.033659648311555,0.0342693236714975,0.005312862041122,1.2709251101321586,0.0014660037043906,-0.0701711486948092,0.922431492019999,0.9926026407148082,Full-Funnel Creator
CAMP196370,Instagram,Tech,Brand Awareness,2285-11-08 00:00:00,2285-11-30 00:00:00,22,536980,41543,5473,160,2304,0.077364147640508,0.0101921859287124,0.0292344235337109,0.0038514310473485,14.4,0.00429066259451,-0.1501431500744232,-0.1685185668957494,-0.0183754168213261,Spike Artist
CAMP149742,Twitter,Tech,Brand Awareness,2158-03-11 00:00:00,2158-03-14 00:00:00,3,761659,58876,5387,9,568,0.0772996839793135,0.0070727188938882,0.0016706886950064,0.000152863645628,63.11111111111112,0.0007457405479354,-0.1501800396392524,-0.7697314956985232,-0.6195514560592708,Spike Artist
CAMP147389,Instagram,Travel,Seasonal Sale,2151-10-01 00:00:00,2151-10-13 00:00:00,12,887767,39805,11314,553,2274,0.0448372151701966,0.0127443349437408,0.0488774969064875,0.0138927270443411,4.112115732368897,0.0025614829116198,-0.1687568056103488,0.3067361191727621,0.475492924783111,Spike Artist
CAMP158378,YouTube,Fitness,Brand Awareness,2181-11-01 00:00:00,2181-11-17 00:00:00,16,541362,98705,378,35,1331,0.1823271674036966,0.0006982388863643,0.0925925925925925,0.0003545919659591,38.02857142857143,0.0024586136448439,-0.0900776798470722,0.4488509757802036,0.5389286556272759,Full-Funnel Creator
CAMP169047,YouTube,Fashion,Giveaway,2211-01-18 00:00:00,2211-02-13 00:00:00,26,427853,68713,3040,129,2204,0.1605995517151919,0.0071052440908442,0.0424342105263157,0.001877374004919,17.085271317829456,0.0051513019658621,-0.1025113870345525,-0.092758343484056,0.0097530435504965,Spike Artist
CAMP141980,Instagram,Fashion,Event Promotion,2136-12-09 00:00:00,2137-01-03 00:00:00,25,264318,1752,1894,93,2970,0.0066283794520236,0.0071656111199388,0.0491024287222808,0.0530821917808219,31.93548387096774,0.0112364651669579,-0.1906219509675382,0.2455612394578823,0.4361831904254206,Spike Artist
CAMP188782,Instagram,Tech,Giveaway,2265-01-29 00:00:00,2265-02-25 00:00:00,27,763410,85067,12002,381,4515,0.1114302930273378,0.0157215650829829,0.0317447092151308,0.0044788225751466,11.850393700787402,0.0059142531536133,-0.1306486743427821,0.1114765991809093,0.2421252735236915,Spike Artist
CAMP170771,YouTube,Travel,Event Promotion,2215-10-08 00:00:00,2215-10-14 00:00:00,6,232893,85815,1724,122,1259,0.3684739343818835,0.0074025410810973,0.0707656612529002,0.0014216628794499,10.31967213114754,0.0054059160215206,0.0164454853121604,0.3821629763441732,0.3657174910320128,Full-Funnel Creator
CAMP120216,Twitter,Fitness,Brand Awareness,2077-05-08 00:00:00,2077-05-10 00:00:00,2,891687,21722,8513,220,4443,0.0243605659833551,0.0095470720106943,0.0258428286150593,0.0101279808489089,20.195454545454545,0.0049826901143562,-0.1804746426625131,-0.2238771969143864,-0.0434025542518733,Spike Artist
CAMP180724,YouTube,Fashion,Seasonal Sale,2243-01-07 00:00:00,2243-01-17 00:00:00,10,338112,80348,1110,88,1298,0.2376372326329736,0.0032829358319136,0.0792792792792792,0.0010952357245979,14.75,0.003838964603445,-0.0584262936369822,0.3443309748815824,0.4027572685185647,Full-Funnel Creator
CAMP196906,TikTok,Food,Seasonal Sale,2287-04-28 00:00:00,2287-05-27 00:00:00,29,689999,82340,17287,693,13,0.1193335062804438,0.0250536594980572,0.0400879273442471,0.0084163225649744,0.0187590187590187,1.884060701537249e-05,-0.1261260317832802,0.6640549148015874,0.7901809465848676,Spike Artist
CAMP181421,YouTube,Fashion,Giveaway,2244-12-04 00:00:00,2244-12-14 00:00:00,10,292512,72956,1190,90,3969,0.2494119899354556,0.0040682091674871,0.0756302521008403,0.0012336202642688,44.1,0.0135686741056777,-0.0516881458990248,0.3186781423484878,0.3703662882475126,Full-Funnel Creator
CAMP209509,YouTube,Travel,Seasonal Sale,2321-10-30 00:00:00,2321-10-31 00:00:00,1,48514,87039,798,64,4906,1.7941006719709776,0.0164488601228511,0.0802005012531328,0.0007353025655166,76.65625,0.101125448324195,0.8322655765706705,0.9199760517480216,0.087710475177351,Full-Funnel Creator
CAMP101876,Instagram,Beauty,Brand Awareness,2027-02-20 00:00:00,2027-03-06 00:00:00,14,305987,87569,1847,91,1582,0.2861853608159824,0.0060362041524639,0.049269085002707,0.0010391805319233,17.384615384615383,0.0051701542876004,-0.0306444505216718,-0.0301128650124135,0.0005315855092583,Spike Artist
CAMP146383,Twitter,Fashion,Giveaway,2148-12-29 00:00:00,2148-12-31 00:00:00,2,67325,17770,501,5,1812,0.2639435573709617,0.0074415150389899,0.0099800399201596,0.0002813731007315,362.4,0.0269142220571852,-0.0433724035249639,-0.6172584766511733,-0.5738860731262093,Spike Artist
CAMP107487,Instagram,Fitness,Product Launch,2042-07-02 00:00:00,2042-07-17 00:00:00,15,591978,66511,10926,233,512,0.1123538374736899,0.0184567669744483,0.0213252791506498,0.0035031799251251,2.1974248927038627,0.0008648970063076,-0.1301201726707538,0.0532112322181714,0.1833314048889252,Spike Artist
CAMP118048,YouTube,Tech,Event Promotion,2071-06-01 00:00:00,2071-06-16 00:00:00,15,725186,74064,4594,266,4510,0.1021310394850424,0.0063349264878251,0.0579016107966913,0.0035914884424281,16.954887218045112,0.0062190941358492,-0.1359702060407224,0.1353841272254232,0.2713543332661456,Spike Artist
CAMP129281,Instagram,Gaming,Giveaway,2102-03-04 00:00:00,2102-03-23 00:00:00,19,756281,87154,605,3,3269,0.1152402347804585,0.0007999672079557,0.0049586776859504,3.442182802854717e-05,1089.6666666666667,0.0043224674426568,-0.1284684213026512,-0.9842037996547802,-0.855735378352129,Platform Native
CAMP151010,Twitter,Travel,Giveaway,2161-08-30 00:00:00,2161-09-15 00:00:00,16,791493,94894,14078,374,3796,0.11989240587093,0.0177866386689459,0.0265662736184117,0.0039412396990326,10.149732620320856,0.0047959994592497,-0.1258061994576843,0.112416165721711,0.2382223651793954,Spike Artist
CAMP176504,Instagram,Food,Giveaway,2231-06-19 00:00:00,2231-06-28 00:00:00,9,465217,79001,4724,200,4002,0.1698153764802232,0.0101544010644494,0.0423370025402201,0.0025316135238794,20.01,0.0086024371422368,-0.0972375977581639,0.0387314491389049,0.1359690468970689,Spike Artist
CAMP234480,Instagram,Beauty,Product Launch,2390-03-13 00:00:00,2390-03-15 00:00:00,2,431925,80350,7062,200,3953,0.1860276668403079,0.01635006077444,0.0283205890682526,0.0024891101431238,19.765,0.0091520518608554,-0.0879600555710406,0.0734027952986036,0.1613628508696442,Spike Artist
CAMP200164,Instagram,Food,Product Launch,2296-03-29 00:00:00,2296-04-16 00:00:00,18,299232,62667,6615,366,3689,0.2094261308950914,0.022106592877767,0.055328798185941,0.0058403944659868,10.079234972677597,0.0123282269276013,-0.0745701993224379,0.7765708114066201,0.851141010729058,Full-Funnel Creator
CAMP125705,Twitter,Fashion,Product Launch,2092-05-18 00:00:00,2092-05-28 00:00:00,10,267532,54259,967,6,613,0.2028131214209889,0.0036145208797452,0.0062047569803516,0.0001105807331502,102.16666666666669,0.0022913146838509,-0.0783545180718038,-0.8432763106957891,-0.7649217926239853,Spike Artist
CAMP196398,Instagram,Beauty,Brand Awareness,2285-12-06 00:00:00,2285-12-30 00:00:00,24,65176,58931,670,15,2813,0.904182521173438,0.0102798576163004,0.0223880597014925,0.0002545349646196,187.53333333333333,0.0431600589173929,0.3230066746058908,-0.2928696394291945,-0.6158763140350854,Spike Artist
CAMP133116,Instagram,Gaming,Seasonal Sale,2112-09-02 00:00:00,2112-09-29 00:00:00,27,899044,27747,13331,200,980,0.0308627831340846,0.0148279728244668,0.0150026254594554,0.0072079864489854,4.9,0.0010900467607814,-0.1767537252235896,-0.1889441698341031,-0.0121904446105134,Spike Artist
CAMP100923,YouTube,Travel,Event Promotion,2024-07-12 00:00:00,2024-07-25 00:00:00,13,340308,14524,1429,100,3091,0.0426789849195434,0.0041991372521363,0.0699790062981105,0.0068851556045166,30.91,0.0090829483879309,-0.1699918607293503,0.2566625892778483,0.4266544500071986,Spike Artist
CAMP174296,Instagram,Food,Product Launch,2225-06-02 00:00:00,2225-06-17 00:00:00,15,96245,23377,1142,10,3891,0.2428905397682996,0.0118655514572185,0.0087565674255691,0.0004277708859135,389.1,0.0404280741856719,-0.0554200695016252,-0.4477671309166766,-0.3923470614150513,Spike Artist
CAMP203668,TikTok,Tech,Event Promotion,2305-11-02 00:00:00,2305-11-09 00:00:00,7,769423,47061,20091,245,2819,0.0611640151126233,0.0261117746675105,0.0121945149569458,0.0052060092220734,11.506122448979593,0.0036637844202733,-0.1594137348978036,0.2379684092518742,0.3973821441496779,Spike Artist
CAMP200418,YouTube,Gaming,Product Launch,2296-12-08 00:00:00,2296-12-23 00:00:00,15,722166,8895,3497,86,3095,0.0123171126860029,0.0048423769604218,0.0245925078638833,0.0096683530073074,35.98837209302326,0.0042857182420662,-0.1873665526618508,-0.4472730801555695,-0.2599065274937187,Ghost Amplifier
CAMP199125,Instagram,Food,Giveaway,2293-05-25 00:00:00,2293-06-09 00:00:00,15,394018,13365,315,3,4502,0.0339197701627844,0.0007994558624225,0.0095238095238095,0.0002244668911335,1500.6666666666667,0.0114258739448451,-0.1750043532659989,-0.9085801569245424,-0.7335758036585436,Ghost Amplifier
CAMP139797,Instagram,Fashion,Brand Awareness,2130-12-18 00:00:00,2131-01-05 00:00:00,18,997612,82341,12231,426,45,0.0825381009851525,0.0122602775427721,0.0348295315182732,0.0051736073159179,0.1056338028169014,4.510771722874224e-05,-0.1471823364347089,0.0173123190890797,0.1644946555237887,Spike Artist
CAMP210748,Instagram,Fitness,Brand Awareness,2325-03-22 00:00:00,2325-04-13 00:00:00,22,850143,77922,6041,136,1080,0.0916575211464424,0.0071058633665159,0.0225128290018208,0.0017453350786684,7.9411764705882355,0.0012703745134642,-0.1419637150438182,-0.4197505740495912,-0.277786859005773,Spike Artist
CAMP129474,YouTube,Tech,Seasonal Sale,2102-09-13 00:00:00,2102-09-14 00:00:00,1,732072,4962,5771,125,4264,0.0067780218339179,0.0078831043941033,0.0216600242592271,0.0251914550584441,34.112,0.0058245637041165,-0.1905363175696549,-0.2968383921536565,-0.1063020745840016,Ghost Amplifier
CAMP162004,Instagram,Beauty,Seasonal Sale,2191-10-06 00:00:00,2191-10-20 00:00:00,14,208478,93614,2636,13,1145,0.4490353898253053,0.0126440199925171,0.0049317147192716,0.0001388681180165,88.07692307692308,0.0054921862258847,0.0625470715120077,-0.4784814739766145,-0.5410285454886223,Spike Artist
